timestamp,player1_move,player2_move,winner
1763565273.9536102,tijera,papel,jugador1
1763565281.1856294,tijera,piedra,jugador2
1763565380.1856105,piedra,piedra,empate
1763565386.0335364,papel,papel,empate
1763565392.2735832,tijera,tijera,empate
1763565396.481768,papel,piedra,jugador1
1763565400.7215946,piedra,papel,jugador2
1763565421.1935842,tijera,tijera,empate
1763565424.3617146,papel,tijera,jugador2
1763565427.4335775,piedra,papel,jugador2
1763565430.0975683,tijera,papel,jugador1
1763565434.1135485,papel,piedra,jugador1
1763565442.0255597,papel,piedra,jugador1
1763565447.2575595,tijera,papel,jugador1
1763565469.6575503,piedra,tijera,jugador1
1763565478.4095328,piedra,papel,jugador2
1763565676.4895296,piedra,piedra,empate
1763565742.361363,papel,piedra,jugador1
1763565757.0334737,papel,papel,empate
1763565761.2892365,piedra,tijera,jugador1
1763565765.2972426,tijera,piedra,jugador2
1763565768.985255,piedra,papel,jugador2
1763565772.1932137,tijera,piedra,jugador2
1763565777.0652115,papel,tijera,jugador2
1763565780.4492283,piedra,tijera,jugador1
1763565783.5532055,papel,papel,empate
1763565786.3534212,piedra,papel,jugador2
1763565789.8811822,tijera,piedra,jugador2
1763565793.6414998,piedra,piedra,empate
1763565796.5772314,piedra,papel,jugador2
1763565799.6494162,papel,papel,empate
1763565802.1772346,tijera,tijera,empate
1763565804.2892828,papel,piedra,jugador1
1763565808.4654114,tijera,papel,jugador1
1763565811.7934284,piedra,papel,jugador2
1763565814.5612237,tijera,papel,jugador1
1763565817.1131823,papel,tijera,jugador2
1763565819.449175,papel,tijera,jugador2
1763565821.2974138,piedra,piedra,empate
1763565823.4892056,tijera,piedra,jugador2
1763565826.233176,papel,papel,empate
1763565828.353181,tijera,tijera,empate
1763565830.0654728,papel,piedra,jugador1
1763565832.3771665,papel,piedra,jugador1
1763565834.6332312,papel,papel,empate
1763565836.7451715,piedra,tijera,jugador1
1763565839.361165,tijera,tijera,empate
1763565841.6571956,piedra,piedra,empate
1763565844.057163,tijera,papel,jugador1
1763565846.2496154,tijera,papel,jugador1
1763565848.5851564,papel,piedra,jugador1
1763565851.537183,papel,piedra,jugador1
1763565854.0891538,piedra,tijera,jugador1
1763565856.9451873,piedra,papel,jugador2
1763565859.945459,piedra,papel,jugador2
1763565862.0171614,papel,tijera,jugador2
1763565864.2331882,piedra,piedra,empate
1763565866.3614419,piedra,papel,jugador2
1763565868.3771834,tijera,papel,jugador1
1763565871.9692516,papel,piedra,jugador1
1763565874.0253313,papel,tijera,jugador2
1763565876.4651341,piedra,piedra,empate
1763565878.5691364,piedra,piedra,empate
1763565880.505137,tijera,papel,jugador1
1763565882.521134,tijera,tijera,empate
1763565884.697242,piedra,piedra,empate
1763565886.5932417,piedra,papel,jugador2
1763565888.7292395,piedra,piedra,empate
1763565891.1612322,tijera,tijera,empate
1763565893.473129,piedra,papel,jugador2
1763565895.7211428,papel,piedra,jugador1
1763565897.985135,tijera,tijera,empate
1763565900.3611557,piedra,papel,jugador2
1763565902.617229,tijera,piedra,jugador2
